Zachary A. Krantz, CFP®
Luke Scott, CFP®
James L. Cote, CFP®
Matthew R. Brearley, CFP®
Jessica L. Tomac, CFP®
Catherine Curtis, CFP®
Andy L. Thornton, CFP®
Megan L. Prochniak, CFP®
Jeremy  P. Bisceglia, CFP®
Shaun Chelf, CFP®
Adam K. Skitol, CFP®
Joshua A. Paigen, CFP®
Jacob P. Martin, CFP®
Aubrey L. Baker, CFP®
Darren P. Clark, CFP®
Carl A. Schopfer, CFP®
David M. Parks, CFP®
Walter C. May, CFP®
Jonathan Fichter, CFP®
Elizabeth McFadden, CFP®
Robert A. Molard, CFP®
Scott Novellas, CFP®
Spencer J. Burkert, CFP®
Allison M. Berger, CFP®
Heather M. Hennigh, CFP®
Susan M. Dingle, CFP®
Casey Z. Shure, CFP®
Darschaun Snuffer, CFP®
Spencer A. Cohen, CFP®
Adam C. Coffing, CFP®
Richard S. Murphy, CFP®
Thomas L. Green, CFP®
Ann L. MacNaughton, CFP®
Kevin P. Buenvenida, CFP®
Sophia Lanting, CFP®
Adam Roslovic, CFP®
Donald P. La Fronz, CFP®
Allison M. Ludwig, CFP®
Nathaniel H. Running, CFP®
Pamela S. Stamper-Brandt, CFP®
John P. Napolitano, CFP®
David W. Conrad, CFP®
David G. Settelmyer, CFP®
Christopher R. Dorsett, CFP®
Christopher L. Chaffin, CFP®
Lisa More, CFP®
Andrew M. Hudick, CFP®
Christopher  Stevenson, CFP®
Shannon Knaggs, CFP®
Joseph Carpenter, CFP®
Gary F. Anger, CFP®
Brian S. Peters, CFP®
Bradford C. Dickson, Jr, CFP®
Scott Allen, CFP®
Benjamin  Lopez, CFP®
Mark O. VandeVelde, CFP®
Thomas Wideman, CFP®
Matthew Sibley, CFP®
Nicholas E. Bonn, CFP®
Sandra J. Vantrease, CFP®
Richard E. Cunningham, CFP®
Amanda R. Plonski, CFP®
Luis Abreu, CFP®
Christina  A. Fransckiewich, CFP®
Shane M. Zenner, CFP®
William C. Stoy, CFP®
Daniel Pelosi, CFP®
Hardy L. Winburn, CFP®
C. P. Kerntke, CFP®
Stuart W. Weier, CFP®
Janet G. Palmatier, CFP®
Piero  D. Colecchia, CFP®
Vincent Silva, CFP®
Michael J. Graham, CFP®
Thomas Cassano, CFP®
Robert J. Vogel, CFP®
Brian S. Olmstead, CFP®
Kevin K. Renne, CFP®
Matthew E. Greene, CFP®
Glenn A. Van Gieson, CFP®
Michael J. Branthover, CFP®
Paul J. Di Palma, CFP®
Anna M. Lamond, CFP®
Glyn A. Griffis, CFP®
Kyle M. Schau, CFP®
Timothy S. Carlin, CFP®
Margaret S. English, CFP®
Matthew Hague, CFP®
Angela C. Coleman, CFP®
Kader J. Joseph, CFP®
David J. Warholak, CFP®
Charles R. Kling, CFP®
Thomas D. Schreiber, CFP®
Darryl R. Rae, CFP®
D. Alfred Jones, CFP®
John P. Pfaffmann, CFP®
William G. Kanaga, CFP®
Ernest E. Guilliams, CFP®
Brent O'Neal, CFP®
Clinton A. Helmbrecht, CFP®
Mahyar Mohammadzadeh, CFP®
William G. Dorriety, CFP®
Courtney Altringer, CFP®
Gregory B. Cole, CFP®
Oswaldo  Gomez, CFP®
Peter M. Rivas, CFP®
Matthew C. McConnell, CFP®
candi r. trevino, CFP®
Devon Mulligan, CFP®
Brian E. Code, CFP®
Jay W. Hovis, CFP®
Michael S. Poggi, CFP®
Lynn K. Opp, CFP®
Ross Alisiani, CFP®
BLAKE W. MAY, CFP®
John E. Slyman, CFP®
Alain J. Welty, CFP®
Nathan Q. Bingham, CFP®
Kyle Martin, CFP®
Christopher P. Yalanis, CFP®
Christopher Harper, CFP®
Jordan Martinez, CFP®
Julie A. Kern, CFP®
Amy S. Foster, CFP®
Michelle L. Heide, CFP®
Joshua M. Greenwald, CFP®
Christopher C. Giambrone, CFP®
Kenneth A. Surber, CFP®
Samuel R. Hylton, CFP®
Sara Ellefsen, CFP®
David Cariani, CFP®
Freeman Linde, CFP®
Lesa F. Haas, CFP®
Christopher  T. Cannon, CFP®
Angela Owen, CFP®
J. Allen Neuenschwander, CFP®
Michael J. Anderson, CFP®
Brian Battle, CFP®
David Hood, CFP®
Louis M. Romano, CFP®
Nicholas J. Greene, CFP®
Elizabeth B. Diebold, CFP®
Shad J. Connor, CFP®
Darren M. Knight, CFP®
Kenneth S. Safran, CFP®
Stephen M. Fleming, CFP®
Kevin T. Kramer, CFP®
Kristen B. Puryear, CFP®
Philip J. O'Reilly, CFP®
Heather V. Phillips, CFP®
Travis Bearden, CFP®
David W. Trammell, CFP®
Herman J. Dieckmann, CFP®
Lia Bertelson, CFP®
Robert J. Wyble, CFP®
Olivia A. Forde, CFP®
William R. Pagano, CFP®
Shlomit RAVIV, CFP®
Matthew R. Powell, CFP®
Ken  T. Ngo, CFP®
Virginia L. Price, CFP®
John J. McCarthy, CFP®
Michael W. Beels, CFP®
Joseph P. Okaly, CFP®
Jennifer A. Duarte, CFP®
Stephanie Sherman, CFP®
William R. Wilkins, CFP®
David J. Nienaber, CFP®
Charles Goldblum, CFP®
Clark L. Permann, CFP®
David G. Givler, CFP®
Keith P. Marshall, CFP®
Matthew T. Janes, CFP®
Christopher A. Otto, CFP®
Byron S. Nakano, CFP®
Brian E. Miller, CFP®
Jesse J. Griffin, CFP®
William L. Knoke, CFP®
Daniel J. Bensema, CFP®
Nadine L. Bartkowski, CFP®
Nohra S. Bello, CFP®
Bryan J. Carroll, CFP®
Kevin L. Cecil, CFP®
Bradley M. Binversie, CFP®
John W. Holtzman, CFP®
Richard W. Lancaster, CFP®
Serena Chow, CFP®
Nicholas Gitto, CFP®
Davita C. Alford-Cooper, CFP®
Allan T. Mathis, CFP®
Kimberly Sterling, CFP®
Todd C. Martin, CFP®
Michelangelo Di Cosola, CFP®
Timothy J. Valentine, CFP®
William R. Allison, CFP®
Joanna B. Smith, CFP®
John T. Cooke, CFP®
Eric A. Rust, CFP®
John C. Ross, CFP®
David D. Jones, CFP®
Jennifer Weir, CFP®
Jonathan D. Daniels, CFP®
Bobbie D. Bascombe, CFP®
Michael Gibson, CFP®
Kyle  B. Whittington, CFP®
Clifford Faintych, CFP®
Christine M. Cisco, CFP®
Steven Wolfe, CFP®
Nelson R. Schoon, CFP®
Gregory R. Brodeur, CFP®
Harris T. Doobrow, CFP®
Sara E. Gdowik, CFP®
Gary  L. Brown , CFP®
Graham G. Merk, CFP®
Alan B. Leitson, CFP®
Andrew P. Schelitzche, CFP®
Leah Thomson Snell, CFP®
James L. Stein, CFP®
Craig Schnuelle, CFP®
Herbert A. Milner, CFP®
Joseph T. Reilly, CFP®
Danielle K. Margulis, CFP®
John W. Simonds, CFP®
Melissa M. Kenshalo, CFP®
Douglas P. Osber, CFP®
John F. Kloecker, CFP®
Michael K. Brotsky, CFP®
Kristin Baker, CFP®
Kara N. Case, CFP®
Phillip J. Harmon, CFP®
Thomas Clarke, CFP®
Adrienne L. Zingrich, CFP®
Christopher E. Csenge, CFP®
Michael J. Theres, CFP®
Patrick V. Masso, CFP®
Troy D. Chrane, CFP®
Jenny A. Burns, CFP®
Nicholas Marciano, CFP®
Corey  Fast, CFP®
Eric J. Franek, CFP®
Barbara C. Archer, CFP®
Robert J. Berger, CFP®
Stephen L. Hudacek, CFP®
John E. Pinkley, CFP®
Douglas S. Thorburn, CFP®
William Frogale, CFP®
Zheng Nan Xu, CFP®
Kentrell L. Taylor, CFP®
Matthew J. Giles, CFP®
Brendan Noonan, CFP®
Chad N. Soukup, CFP®
Christopher L. Doughty, CFP®
Matthew B. Dresnick, CFP®
David Martinez, CFP®
David F. Light, CFP®
Luis R. DaCosta, CFP®
Christine J. Hyla, CFP®
Douglas Kobak, CFP®
Matthew D. Gold, CFP®
Jason M. Cockerham, CFP®
Emmanuel J. Lelekis, CFP®
Alexander Moore, CFP®
Alexis S. Garza, CFP®
Caitlin S. Polson, CFP®
Donald R. Crandell, CFP®
Matthew  D. Grubb, CFP®
Brian C. Hooper, CFP®
Gregory A. Crosby, CFP®
Marc S. Goldberg, CFP®
Gregory R. Bradstreet, CFP®
Henry D. Davidson, CFP®
Keith Abrosh, CFP®
Horacio A. Choi, CFP®
Delbert W. Smith, CFP®
Joshua L. Freitas, CFP®
Daniel P. Morrissey, CFP®
James Usseglio, CFP®
Katherine M. Wolf, CFP®
Adam Horning, CFP®
Sterling G. Widmer, CFP®
Samantha M. McKee, CFP®
Nathan R. Green, CFP®
J. D. Sabio, CFP®
David I. Soloway, CFP®
Richard T. Lincoln, CFP®
J. L. Nelson, CFP®
Mark C. Brewer, CFP®
Paul E. Hill, CFP®
James J. Hanning, CFP®
Ryan K. Butts, CFP®
Matt Magee, CFP®
Jason R. Hemeon, CFP®
Daniel Boling, CFP®
Susan E. Taverna, CFP®
Henry W. Fox, CFP®
Jorge Bravo, CFP®
Jeffrey M. Gaeth, CFP®
Scott P. Belanger, CFP®
Jessica L. Rossana, CFP®
George H. Blais, CFP®
Leslie S. Gunawan, CFP®
James E. Estep , CFP®
Tamara Durbin, CFP®
Brian S. Crawley, CFP®
Gregory V. Katulka, CFP®
Julia C. Beck, CFP®
Lance R. Hoenig, CFP®
James V. McGurren, CFP®
Richard C. Caw, CFP®
Adam J. McNulty, CFP®
Stephen L. Bruneau, CFP®
James P. Marren, CFP®
William J. Jones, CFP®
Herman Tkach, CFP®
Elizabeth W. Yoder, CFP®
Marcus F. Miller, CFP®
James B. Underhill, CFP®
Sean  C. Yu, CFP®
Reed Clemons, CFP®
Daniel J. Eastep, CFP®
Richard  D. Byank, CFP®
Richard M. Brown, CFP®
Derek J. Blankenship, CFP®
Carl Warren, CFP®
Whitney J. Ward, CFP®
Ashley B. Borgialli, CFP®
Alexander B. Anderson, CFP®
John W. Loyd, CFP®
David W. Crist, CFP®
Arthur J. Walker, CFP®
Robert Hicks, CFP®
Darren L. Hugo, CFP®
Gary M. Sullivan, CFP®
Brett Scharf, CFP®
Sam H. Fawaz, CFP®
Alejandro E. Aquino, CFP®
Daniel Spector-Franson, CFP®
Katelyn Murray, CFP®
Benjamin D. Papinaw, CFP®
Stacy Mikolajczyk, CFP®
Thomas H. Williams, CFP®
Ryan D. Greenlee, CFP®
Jason DaCunha, CFP®
Michael A. Berry, CFP®
Leslie A. Morgan, CFP®
Calvin Wiersma, CFP®
Jack M. Zahl, CFP®
Vincent C. Perry, CFP®
Jared Stevenson, CFP®
Barry K. Betters, CFP®
Lauren G. Lindsay, CFP®
Austin P. Hon, CFP®
Nicholas J. Bedlan, CFP®
Omar R. Shalabi, CFP®
Mike R. Monteith, CFP®
Neeta Singh, CFP®
Mark Bowes, CFP®
Edward F. Sparkowski, CFP®
Matthew  E. Ruffalo, CFP®
Kenneth  R. Huffine, CFP®
John L. Johnson, CFP®
Christopher M. Herrera, CFP®
Man-Hyung Hahn, CFP®
Andrew T. Roberson, CFP®
Thomas Schorn, CFP®
Randall S. Kensinger, CFP®
Kevin T. Sailor, CFP®
Gerald E. Mang, CFP®
Kenneth J. Schenden, CFP®
Harrison S. Falteisek, CFP®
Charles D. Mueth, CFP®
Gregory A. Deckert, CFP®
Bart Truitt, CFP®
Edward M. Zapson, CFP®
Teancum D. Light, CFP®
Ralph T. Salvatore, CFP®
Christopher M. Brostrom, CFP®
Martin M. Bassett, CFP®
David B. Ferris, CFP®
Thomas E. Burke, CFP®
William V. Smith, CFP®
Nathan  L. Parker, CFP®
Stephen F. Sheffield, CFP®
David W. Schrager, CFP®
Frank Byrd, CFP®
Ron Valpey, CFP®
Nathaniel T. Volkema, CFP®
John Friedman, CFP®
Chad L. Nehring, CFP®
Erik G. Armstrong, CFP®
Lulu Zappy, CFP®
Daniel R. Palm, CFP®
John D. Brown, CFP®
Greg A. Gutfleisch, CFP®
Darrell D. Nolton, CFP®
Christian  M. Dekker, CFP®
John D. McCullough, CFP®
Gregory J. Nelson, CFP®
Michael J. Murphy, CFP®
J. Chris Caldwell, CFP®
Martin M. Maffei, CFP®
COLLEEN GEISS, CFP®
Luke DeBenedetto, CFP®
Jana B. Morrison, CFP®
Donald K. Davenport, CFP®
Bryan M. Jansen, CFP®
Petik Petrosyan, CFP®
Nathan D. Jarman, CFP®
Robert P. Engel, CFP®
Kevin D. Ellman, CFP®
Thomas J. Over, CFP®
Andrew Rutherford, CFP®
Janet L. Frasher, CFP®
Dale Akinla, CFP®
Anthony McCracken, CFP®
Chelsea M. Sarason, CFP®
Kelly A. Erickson, CFP®
Russell S. Heuchert, CFP®
Justin S. Prescott, CFP®
Jordan R. Spinosa, CFP®
Jany A. Brown, CFP®
Nancy H. Weingard, CFP®
Phil McDonnell, CFP®
Dan J. Bryan, CFP®
R. Gage Eberlin, CFP®
Thomas A. White, CFP®
Pascal B. Murphy, CFP®
Mark S. Clure, CFP®
Aaron M. Feinblatt, CFP®
Austin J. Fleet, CFP®
James P. Mailhes, CFP®
Justin R. Wurster, CFP®
Barbara M. Clemons, CFP®
Subhash B. Desai, CFP®
Joseph R. Accurso, CFP®
Sarah Johnson, CFP®
Colby A. Gilmore, CFP®
Joshua  P. Hill , CFP®
Jennifer L. Jurek, CFP®
Brenda G. Upton, CFP®
Traci L. Mitchell, CFP®
Ruthanne Monteleone, CFP®
Ryan Ransom, CFP®
Cassandra J. Bartlett, CFP®
Thomas Green, CFP®
Karen E. Martin, CFP®
Larry M. Hightower, CFP®
Deborah Lee, CFP®
Sherri Ammerman, CFP®
Daphne  C. Hu, CFP®
George E. Bouton, CFP®
Michael Coyne, CFP®
Evan Doyel, CFP®
Timothy Sandman, CFP®
Marissa A. Cassidy, CFP®
Robert M. Smith, CFP®
Daniel E. Shay, CFP®
Clara K. Kim, CFP®
Quinn Carranza, CFP®
Jeremy D. Rhen, CFP®
Scott R. Snyder, CFP®
Rebecca L. Schuster, CFP®
James J. Gehring II, CFP®
Karen Rosner, CFP®
Michael J. Harken, CFP®
Christopher J. Mastley, CFP®
George T. Temel, CFP®
William A. Donovan, CFP®
Richard Houston, CFP®
Juan G. Hernandez Ariano, CFP®
Autumn R. Folsom, CFP®
Clode Moradi, CFP®
James N. Whiddon, CFP®
Janet E. Carpenter, CFP®
Max C. Rosenthal, CFP®
John C. McDonald, CFP®
Todd F. Daley, CFP®
Michael G. Tepperman, CFP®
Susan M. Steel, CFP®
Jason A. Wilderson, CFP®
Timothy A. Hazeltine, CFP®
Jak Cukaj, CFP®
Daniel Mizell, CFP®
Kyle E. Anderson, CFP®
K. C. Moore, CFP®
Jordan Knight, CFP®
Dita Merritt, CFP®
Courtney  A. Ripp, CFP®
Lester E. Gallagher, CFP®
Adam E. Rittersporn, CFP®
Justin H. Cykler, CFP®
Matthew E. Mixon, CFP®
Karen H. Mersereau, CFP®
Mark R. Finney, CFP®
Jacob Hult, CFP®
Robert J. McLane, CFP®
Thomas L. Lucas, CFP®
Daniel J. Swain, CFP®
Joshua M. Alloway, CFP®
David  Walton, CFP®
Andrik Cordero, CFP®
Brett  Hansen, CFP®
Travis Johnson, CFP®
Danielle Luster, CFP®
Jeremy L. Jones, CFP®
Grant W. De Vries, CFP®
Joseph C. Lindner, CFP®
Jason P. White, CFP®
Mathew R. Jackson, CFP®
Laurent Boumaza, CFP®
Michael J. Gerbus, CFP®
Joseph M. Yezovich, CFP®
Kathryn B. Hauer, CFP®
Drew B. Harper, CFP®
Ryan Peterson, CFP®
Shane M. Spells, CFP®
Aaron R. Kelly, CFP®
Richard T. Suarez, CFP®
Robert R. Bennie, CFP®
Sean P. Daley, CFP®
Phimar Patterson, CFP®
Brad W. Bestgen, CFP®
Leon Bennett, CFP®
Allison Szkody, CFP®
G. C. Johnson, CFP®
Joseph S. Thompson, CFP®
Robert W. Halbert, CFP®
Danielle B. Trabon, CFP®
Ilaria Pezzatini, CFP®
Terry M. Levenberg, CFP®
Robert R. McKinley, CFP®
Shawn M. Meade, CFP®
Lee G. Friedman, CFP®
Joe B. Jaspers, CFP®
Matthew W. Bagley, CFP®
Lance D. Greco, CFP®
Tina J. Anders, CFP®
Tyler Hockett, CFP®
David N. Poole, CFP®
Ryan R. Hart, CFP®
Eugene R. Fiamma, CFP®
Brant Root, CFP®
Adam Stalnaker, CFP®
Christopher J. Williams, CFP®
Kerri Goldsmith, CFP®
Gregory J. Murphy, CFP®
John M. Robinson, CFP®
Henry J. Fiedler, CFP®
Ethan D. Lindbloom, CFP®
Harlan Freeman, CFP®
Debra L. Coyle, CFP®
Luke E. Schultz, CFP®
Tyson A. Cromwell, CFP®
Jedediah D. Liebert, CFP®
Erin Gunnell, CFP®
Ashlee Walton, CFP®
Hope Y. Sweatt, CFP®
Rand A. Borresen, CFP®
James E. Bradley, CFP®
Stephen M. Layman, CFP®
Jack Barker, CFP®
Dustin F. Burns, CFP®
Kyuhyun Shin, CFP®
Sandra B. Carlson, CFP®
Kenneth M. Wachtendorf, CFP®
Ryan M. Vogel, CFP®
Scott V. Kaup, CFP®
Chad J. Williams, CFP®
Mark  Wells , CFP®
James D. Shellenberger, CFP®
Matthew K. Logan, CFP®
Jennifer A. Hatch, CFP®
Kristina F. Connell, CFP®
Lyle McAllister, CFP®
Donovan T. Jackson, CFP®
James P. O'Brien, CFP®
Peter Somich, CFP®
Deborah M. Verker, CFP®
Levi B. Edgecombe, CFP®
Jamie L. Jochum, CFP®
Matthew A. Elliott, CFP®
Raymond L. Davis, CFP®
Lauren Feigelman, CFP®
Jeffrey C. St Gelais, CFP®
Lara B. Mazek, CFP®
Diego A. Sarmiento, CFP®
Daniel B. Lovercheck, CFP®
Jared McDaniel, CFP®
Richard Cooke, CFP®
Anthony P. Shea, CFP®
W. J. Cohn, CFP®
Brenda C. Bolander, CFP®
Michael R. Huck, CFP®
Nicholas A. Boeckman, CFP®
Travis A. Hadwin, CFP®
Adam B. Hartung, CFP®
Thomas G. Holliger, CFP®
Stephen R. Jenkins, CFP®
Alexander J. Castaneda, CFP®
Kennith M. Meeks, CFP®
Thomas W. Schulte, CFP®
Eric L. Spindt, CFP®
George W. Jameson, CFP®
J. M. Tuccini, CFP®
Rainer M. Schlichtherle, CFP®
Michael E. Carmona, CFP®
Richard L. Johnson, CFP®
Jeffrey D. Hansen, CFP®
Mike Reppert, CFP®
Mike Marion, CFP®
Christopher C. Ruml, CFP®
Walter S. Marbert, CFP®
John-Thomas Lloyd, CFP®
John P. Moriarty, CFP®
Li E. Gettleman, CFP®
David J. Klepeisz, CFP®
Paul J. Rubacka, CFP®
Brett M. Goldstein, CFP®
Michael A. Phillips, CFP®
David L. Colicci, CFP®
Lisa M. Riter, CFP®
Robert L. Corrao, CFP®
Christina A. Allman, CFP®
James B. Sleyster, CFP®
Matthew J. Conti, CFP®
Lisa Santo, CFP®
Julie K. McMorrow, CFP®
Michael G. Bergum, CFP®
Mathew W. Roper, CFP®
Caitlyn C. Ambrosi , CFP®
Catherine L. Curran, CFP®
Kenneth R. Close, CFP®
Crystal L. Wild, CFP®
Brian M. Schaeffer, CFP®
John B. Whitley, CFP®
Kevin Regan, CFP®
Joseph N. Modica, CFP®
Cale J. Jakusz, CFP®
Zachary W. Smith, CFP®
Anthony J. Evgenikos, CFP®
John M. Bonvetti, CFP®
Susan E. Pack, CFP®
Jeremiah J. Burns, CFP®
Doug G. Hyepock, CFP®
Susan R. Moone, CFP®
Jay M. Desai, CFP®
Nancy G. Slutsky, CFP®
Sean A. Murphy, CFP®
Seong Y. Cho, CFP®
Dana Trowbridge-Mette, CFP®
Michelle G. Yates, CFP®
Robert J. Furlong, CFP®
Kenneth E. Reeves, CFP®
Sidney J. Ruth, CFP®
William Carmody, CFP®
Margaret P. Orlov, CFP®
Thomas W. Lind, CFP®
Andrew Kitay, CFP®
Frank P. Bevilacqua, CFP®
Pete J. Zimmerman, CFP®
Mindy L. Neira, CFP®
Joni L. Rametta, CFP®
Kathy B. Ellis, CFP®
Jeffrey A. Swett, CFP®
Jerry B. Love, CFP®
Colby Faulder, CFP®
Steven H. Caltabiano, CFP®
Sherry Boulay, CFP®
David K. McIntosh, CFP®
Joshua Croyle, CFP®
Casey S. Croysdale, CFP®
Jon J. Melander, CFP®
Warren A. Ward, CFP®
Daniel C. Cummins, CFP®
David H. Reciniello, CFP®
Charles V. Rossi, CFP®
Tyler J. Palumbo, CFP®
Bryan J. Kotlarz, CFP®
John P. Bernier, CFP®
Eric Froistad, CFP®
Kurt Balderston, CFP®
Avasarala V. Rao, CFP®
Kelley Taylor, CFP®
MARK A. PRUITT, CFP®
Admir S. Lugonjic, CFP®
Robert J. Rich, CFP®
Daniel H. Welker, CFP®
Todd D. Swan, CFP®
Amy L. Freeburg, CFP®
Erin N. Zylka, CFP®
Richard J. Testa, CFP®
Brian Sutphin, CFP®
Benaiah D. Gorman, CFP®
Keith M. Pelkey, CFP®
Michael J. Searcy, CFP®
Jason Klein, CFP®
Marla K. Ringling, CFP®
Tatiana Stratigaki, CFP®
Michael Beloff, CFP®
Brandon  Stegall, CFP®
Nicholas E. Whitmer, CFP®
Arthur B. Owens, CFP®
Arnie N. Pechler, CFP®
Alicia Klein, CFP®
Gregory S. Heller, CFP®
Joseph A. Garafano, CFP®
Erin F. Sinclair, CFP®
Christopher Klein, CFP®
Alex Dahlstrom, CFP®
Douglas Boring, CFP®
Clifford J. Brott, CFP®
Maureen M. Tsu, CFP®
Steven P. Lakso, CFP®
Stephen P. Verwers, CFP®
Taylor M. Finley, CFP®
Timothy A. Meyer, CFP®
Sean M. Barker, CFP®
Evan T. Gilchrest, CFP®
Joshua D. Deeter, CFP®
Ryan H. Harris, CFP®
Ismail Ceylan, CFP®
Amy Pearl, CFP®
Steven Davis, CFP®
Joseph T. Murphy, CFP®
Louis M. Messina, CFP®
JESSICA A. SAUNDERS, CFP®
David A. Wasik, CFP®
Jeff S. Bollinger, CFP®
Patrick D. Welde, CFP®
Kevin M. Heck, CFP®
Collin  Schmidt, CFP®
ALEXANDER STEMPKOSKI, CFP®
Amory C. Sanders, CFP®
Steven P. Jakubowski, CFP®
David R. Souders, CFP®
Christopher A. Schipske, CFP®
Garrison R. North, CFP®
Regina McCann Hess, CFP®
Dilworth D. Lyman, CFP®
Stephen M. LaFrance, CFP®
Erik S. Wolfers, CFP®
Cole Lauinger, CFP®
Kevin M. Byrne, CFP®
David Rodriguez, CFP®
Krista M. Finegan, CFP®
Adam S. Kline, CFP®
Katelyn A. Cummings, CFP®
Arpy  M. Raval , CFP®
Christopher A. McCauley, CFP®
William D. Pitney, CFP®
Jeffrey A. Kirk, CFP®
Keith G. Laterrade, CFP®
Michael H. Cure, CFP®
Paul D. Winn, CFP®
Piercen R. Harnish, CFP®
Michael Madrid, CFP®
Brian L. Wilson, CFP®
Peter J. Winnett, CFP®
Christopher A. Pratt, CFP®
Christopher L. LaFountain, CFP®
Timothy Johnson, CFP®
Evan A. Macauley, CFP®
Andrew J. Gilbert, CFP®
Megan McNealy, CFP®
Kelli Puhl, CFP®
Paul M. Soraci, CFP®
Kevin M. Dillon, CFP®
Cody J. Forbush, CFP®
Susan G. Palombo, CFP®
Joseph P. Katzaroff, CFP®
Kenneth P. Logan, CFP®
Jeffrey J. Schultz, CFP®
Bradley W. Schooler, CFP®
A. R. Hodgson, CFP®
Evan Z. Miller, CFP®
Timothy J. Sundstrom, CFP®
Thomas E. Space, CFP®
David M. Allen, CFP®
Kristina  T. Johnson, CFP®
James Klocke, CFP®
Christian Johnson, CFP®
Crystal J. Cox, CFP®
Andrew J. Pompe, CFP®
Jeffrey M. Rainwater, CFP®
Peter Heller, CFP®
Douglas F. Karr, CFP®
Hannah L. Grossblatt, CFP®
Gaylen J. Harms, CFP®
Jeffery S. Miller, CFP®
Myra A. O'Dell, CFP®
Charles B. Sachs, CFP®
David F. Nevell, CFP®
JOHN D'AMELIO, CFP®
Michael S. Kessel, CFP®
Jefferson B. Cronan, CFP®
Monte L. Zilmer, CFP®
Thomas M. Nowak, CFP®
Jared C. Allen, CFP®
Clark Bixler, CFP®
Jean M. Lynn, CFP®
Jignesh N. Patel, CFP®
Samantha N. Cook, CFP®
James T. Englert, CFP®
Robert A. Waskiewicz, CFP®
David B. Hooks, CFP®
Adam W. Wood, CFP®
Lynne Marcus, CFP®
Jason Priebe, CFP®
Tyler E. Boyd, CFP®
Ted E. Albrecht, CFP®
Kevin E. Okim, CFP®
Harold W. Smith, CFP®
Thomas M. Genco, CFP®
Valerie K. McBride, CFP®
Sarah R. Szczublewski, CFP®
Claire M. Thornton, CFP®
John Higgins VII, CFP®
Thomas C. Nelson, CFP®
Anthony J. Stumpo, CFP®
Richard S. Wimmer, CFP®
Manda A. Lewis, CFP®
David T. Sparkman, CFP®
Thomas J. Knight, CFP®
Marshall K. Mayotte, CFP®
Justin T. Mitchell, CFP®
Kevin R. Larson, CFP®
Greg Rutherford, CFP®
Stephen B. Pfeffer, CFP®
Randall S. Cole, CFP®
Andrew Soontharotoke, CFP®
Jeffrey D. Robinson, CFP®
Jeffrey A. Kitchen, CFP®
Ginger L. Weber, CFP®
Ryan  M. Mohr, CFP®
John S. Sloop, CFP®
Michael A. Syman-Degler, CFP®
Justin P. Wilson, CFP®
David Sokolovsky, CFP®
Paul R. Bourgeois, CFP®
Kreshnik Berisha, CFP®
Dale B. Sailors, CFP®
Jason L. Firek, CFP®
Richard Harrison, CFP®
Carolyn W. Fraser, CFP®
Justin J. Selig, CFP®
Michael G. Conaway, CFP®
Jessica Perkins, CFP®
Deborah Langer, CFP®
Brent Thompson, CFP®
Andy Darkins, CFP®
Jennifer C. Daly, CFP®
Gary  F. Ferreira, CFP®
Jason Stachura, CFP®
Vincent  A. Abbatiello, CFP®
Michael Bale, CFP®
David L. Bolson, CFP®
Philip J. Schlemmer, CFP®
Michael R. De Spirito, CFP®
Julia H. Myers, CFP®
Randal E. Symank, CFP®
Barry L. Moss, CFP®
Alex S. Crouch, CFP®
Blake Culpepper, CFP®
Mitchell Best, CFP®
Adam S. Hicks, CFP®
Thomas H. Armstrong, CFP®
han gu, CFP®
Brandon R. Shuler, CFP®
Samuel L. Spears, CFP®
Michael J. Rovito, CFP®
Edward Jurgielewicz, CFP®
Kevin G. Mackey, CFP®
Brett Fellows, CFP®
Bradley J. Lupkes, CFP®
Jeffrey K. Troll, CFP®
Thomas J. Canale, CFP®
Kerry R. Thompson, CFP®
Kirk T. Thode, CFP®
Jude T. Mertes, CFP®
Remus Preda, CFP®
Donald F. Detts, CFP®
Thomas J. McBride, CFP®
Michael S. Kennedy, CFP®
Michael C. Dempsey, CFP®
Matthew Giles, CFP®
David W. Wright, CFP®
David Cook, CFP®
Malcolm A. Makin, CFP®
Blaine H. Mooney, CFP®
Duane G. Gurbach, CFP®
William G. Recknagle, CFP®
Michael E. Kelly, CFP®
Amy D. Cady, CFP®
Candice J. Gleeson, CFP®
Kimberly Anderson, CFP®
Jennifer Anderson, CFP®
PHILIP POSTLEWAITE, CFP®
William T. Wright, CFP®
Jordan B. Moore, CFP®
William A. Creekbaum, CFP®
Conner Sivewright, CFP®
Heather D. Huppe, CFP®
Stewart J. Deutsch, CFP®
Griffin Lau, CFP®
Oscar R. Vives Ortiz, CFP®
Nathaniel C. Harris, CFP®
James M. Morris, CFP®
Thomas M. Cooney, CFP®
James M. Uren, CFP®
Douglas S. Frye, CFP®
Laura S. Toms, CFP®
James E. Hickmon, CFP®
Allison H. Reeves, CFP®
Megan M. Russell, CFP®
Jon L. Aldrich, CFP®
Lon E. Burford, CFP®
Johnathan S. Strong, CFP®
Scott McGill, CFP®
Sean K. Capuano, CFP®
C. Blake Prestridge, CFP®
David E. Cohen, CFP®
Kian Rahmanzadeh, CFP®
Randy G. McQueen, CFP®
Gail E. Eidman, CFP®
Brent C. Davidoff, CFP®
Jonathan Nickow, CFP®
Michael Collopy, CFP®
Karl E. Schiefer, CFP®
Joanne C. Amorosi, CFP®
